NOT_ID,POLL_TYPE,POLLUTANT
881311,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
878788,Sewage Materials,Crude Sewage
879002,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
865515,Agricultural Materials and Wastes,Slurry and Dilute Slurry
877431,Other Pollutant,Other
882502,Specific Waste Materials,Commercial Waste
882502,Specific Waste Materials,Other Specific Waste Material
882423,Other Pollutant,Other
882346,Sewage Materials,Crude Sewage
815383,Pollutant Not Identified,Not Identified
866473,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
868104,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
868134,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
868538,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
868916,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
