NOT_ID,POLL_TYPE,POLLUTANT
903144,Other Pollutant,Microbiological
904270,Other Pollutant,Microbiological
904142,Sewage Materials,Other Sewage Material
890825,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
914353,Atmospheric Pollutants and Effects,Effects on Humans
914562,Inorganic Chemicals/Products,Heavy Metals
914611,Sewage Materials,Grey Water
914177,Pollutant Not Identified,Not Identified
894077,Organic Chemicals/Products,Solvents
894077,Oils and Fuel,Gas and Fuel Oils
920316,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
920372,Agricultural Materials and Wastes,Silage Liquors
903760,Pollutant Not Identified,Not Identified
920972,Specific Waste Materials,Commercial Waste
860829,Sewage Materials,Crude Sewage
921096,Organic Chemicals/Products,Solvents
797308,Atmospheric Pollutants and Effects,Effects on Humans
914753,Agricultural Materials and Wastes,Slurry and Dilute Slurry
912760,Sewage Materials,Crude Sewage
912326,Sewage Materials,Crude Sewage
920458,Sewage Materials,Crude Sewage
920497,Pollutant Not Identified,Not Identified
911353,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
911353,Inert Materials and Wastes,Rocks and Gravel
911353,Inert Materials and Wastes,Soils and Clay
911353,Specific Waste Materials,Thermal Mineral Residues
908420,Inorganic Chemicals/Products,Ammonia Solutions
920627,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
882314,Contaminated Water,Landfill Leachate
920695,Agricultural Materials and Wastes,Other Agricultural Material or Waste
888768,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
895006,Other Pollutant,Other
923389,Sewage Materials,Grey Water
913101,Sewage Materials,Grey Water
922443,Oils and Fuel,Mixed/Waste Oils
915551,Other Pollutant,Noise
918141,Other Pollutant,Noise
922798,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
922732,Atmospheric Pollutants and Effects,Smoke
922732,Contaminated Water,Firefighting Run-Off
922732,Other Pollutant,Other
920562,Sewage Materials,Storm Sewage
923125,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
923168,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
923543,Oils and Fuel,Diesel
917430,Oils and Fuel,Other Oil or Fuel
924187,Pollutant Not Identified,Not Identified
924290,Inert Materials and Wastes,Construction and Demolition Materials and Wastes
924352,Atmospheric Pollutants and Effects,Other Atmospheric Pollutant or Effect
924442,General Biodegradable Materials and Wastes,Food and Drink
924442,Contaminated Water,Firefighting Run-Off
925409,Sewage Materials,Crude Sewage
925742,Atmospheric Pollutants and Effects,Smoke
925742,Contaminated Water,Firefighting Run-Off
925742,Other Pollutant,Other
925886,Sewage Materials,Crude Sewage
925750,Pollutant Not Identified,Not Identified
926065,Sewage Materials,Crude Sewage
924019,Oils and Fuel,Mixed/Waste Oils
924550,General Biodegradable Materials and Wastes,Other General Biodegradable Material or Waste
912997,Sewage Materials,Crude Sewage
905571,General Biodegradable Materials and Wastes,Algae
