Date,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,pH Water,Temp Water,Cond @ 25C
2022-07-08,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2022-07-08T14:07:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.92,NA,NA
2022-08-04,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2022-08-04T09:46:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.88,NA,NA
2022-09-26,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2022-09-26T12:32:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.99,NA,NA
2022-10-19,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2022-10-19T11:57:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.95,NA,NA
2022-11-09,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2022-11-09T09:36:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.6,NA,NA
2022-12-12,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2022-12-12T15:03:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.02,NA,NA
2023-01-24,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2023-01-24T11:30:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.98,NA,NA
2023-02-10,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2023-02-10T10:37:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.96,NA,NA
2023-03-13,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2023-03-13T11:51:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.74,NA,NA
2023-07-12,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2023-07-12T11:45:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.85,NA,NA
2023-08-15,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2023-08-15T12:35:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.94,NA,NA
2023-09-29,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2023-09-29T11:31:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.73,NA,NA
2023-10-24,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2023-10-24T10:48:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.69,NA,NA
2023-11-28,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2023-11-28T14:32:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.94,NA,NA
2023-12-15,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2023-12-15T10:01:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.91,NA,NA
2024-01-10,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-01-10T12:44:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.91,NA,NA
2024-02-08,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-02-08T12:54:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.77,NA,NA
2024-03-07,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-03-07T09:02:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.97,NA,NA
2024-04-02,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-04-02T11:46:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.86,NA,NA
2024-05-02,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-05-02T10:07:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.7,NA,NA
2024-06-04,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-06-04T09:59:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.1,NA,NA
2024-08-16,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-08-16T11:40:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.54,NA,NA
2024-09-04,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-09-04T11:01:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.96,NA,NA
2024-11-19,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-11-19T12:54:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.92,NA,NA
2024-12-04,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2024-12-04T09:14:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.98,NA,NA
2025-01-14,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-01-14T11:48:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.91,NA,NA
2025-02-07,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-02-07T09:51:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.09,NA,NA
2025-03-04,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-03-04T10:08:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,7.93,NA,NA
2025-04-09,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-04-09T08:50:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.04,NA,NA
2025-05-23,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-05-23T09:50:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.04,NA,NA
2025-06-27,SW-50270111,ASHFORD FISH FARM  FORDINGBRIDGE,413550,114160,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-06-27T09:08:00Z,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,8.01,NA,NA
